# == pyFAI calibration ==
# Distance Sample to Detector: 0.5717115570308332 m
# PONI: 1.291e-01, 1.314e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 571.712 mm
# Center: x=763.724, y=750.752 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.17e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/tdouglas/Documents/SHS/data_for_kaushik/Gain_corrected\NiAl8_pt003sec_00000.xy
#       2th_deg             I 
  1.849015e+00    7.455585e+00
  1.856968e+00    7.471608e+00
  1.864921e+00    7.503195e+00
  1.872874e+00    7.468370e+00
  1.880826e+00    7.417646e+00
  1.888779e+00    7.446781e+00
  1.896732e+00    7.501552e+00
  1.904685e+00    7.579195e+00
  1.912637e+00    7.574277e+00
  1.920590e+00    7.529310e+00
  1.928543e+00    7.523482e+00
  1.936496e+00    7.672922e+00
  1.944448e+00    7.767871e+00
  1.952401e+00    7.713184e+00
  1.960354e+00    7.651546e+00
  1.968307e+00    7.782978e+00
  1.976259e+00    7.778828e+00
  1.984212e+00    7.713825e+00
  1.992165e+00    7.638593e+00
  2.000118e+00    7.690150e+00
  2.008070e+00    7.772820e+00
  2.016023e+00    7.869852e+00
  2.023976e+00    7.931897e+00
  2.031929e+00    7.829884e+00
  2.039881e+00    7.852887e+00
  2.047834e+00    7.736198e+00
  2.055787e+00    7.782228e+00
  2.063740e+00    7.883557e+00
  2.071692e+00    8.022239e+00
  2.079645e+00    8.035232e+00
  2.087598e+00    8.054987e+00
  2.095551e+00    8.018786e+00
  2.103503e+00    8.057492e+00
  2.111456e+00    8.012568e+00
  2.119409e+00    8.015196e+00
  2.127362e+00    8.010492e+00
  2.135314e+00    8.048316e+00
  2.143267e+00    8.046862e+00
  2.151220e+00    8.110312e+00
  2.159173e+00    8.151704e+00
  2.167126e+00    8.158954e+00
  2.175078e+00    8.144846e+00
  2.183031e+00    8.333746e+00
  2.190984e+00    8.419305e+00
  2.198937e+00    8.325624e+00
  2.206889e+00    8.181620e+00
  2.214842e+00    8.014930e+00
  2.222795e+00    8.070772e+00
  2.230748e+00    8.140179e+00
  2.238700e+00    8.193516e+00
  2.246653e+00    8.253664e+00
  2.254606e+00    8.428253e+00
  2.262559e+00    8.517598e+00
  2.270511e+00    8.474921e+00
  2.278464e+00    8.353187e+00
  2.286417e+00    8.233427e+00
  2.294370e+00    8.243342e+00
  2.302322e+00    8.431468e+00
  2.310275e+00    8.628941e+00
  2.318228e+00    8.678250e+00
  2.326181e+00    8.649542e+00
  2.334133e+00    8.565884e+00
  2.342086e+00    8.530724e+00
  2.350039e+00    8.439054e+00
  2.357992e+00    8.443202e+00
  2.365944e+00    8.528316e+00
  2.373897e+00    8.566106e+00
  2.381850e+00    8.702987e+00
  2.389803e+00    8.768679e+00
  2.397755e+00    8.724152e+00
  2.405708e+00    8.600938e+00
  2.413661e+00    8.672429e+00
  2.421614e+00    8.829601e+00
  2.429566e+00    8.906831e+00
  2.437519e+00    8.843854e+00
  2.445472e+00    8.810515e+00
  2.453425e+00    8.887667e+00
  2.461377e+00    8.997231e+00
  2.469330e+00    9.118025e+00
  2.477283e+00    9.215256e+00
  2.485236e+00    9.297688e+00
  2.493188e+00    9.363509e+00
  2.501141e+00    9.368559e+00
  2.509094e+00    9.395049e+00
  2.517047e+00    9.432664e+00
  2.524999e+00    9.522532e+00
  2.532952e+00    9.614923e+00
  2.540905e+00    9.611845e+00
  2.548858e+00    9.595899e+00
  2.556810e+00    9.637940e+00
  2.564763e+00    9.753917e+00
  2.572716e+00    9.795485e+00
  2.580669e+00    9.800097e+00
  2.588621e+00    9.918007e+00
  2.596574e+00    9.903417e+00
  2.604527e+00    9.884428e+00
  2.612480e+00    9.880216e+00
  2.620433e+00    9.943332e+00
  2.628385e+00    1.003093e+01
  2.636338e+00    1.018851e+01
  2.644291e+00    1.021736e+01
  2.652244e+00    1.027932e+01
  2.660196e+00    1.039064e+01
  2.668149e+00    1.050162e+01
  2.676102e+00    1.044188e+01
  2.684055e+00    1.040150e+01
  2.692007e+00    1.050567e+01
  2.699960e+00    1.065152e+01
  2.707913e+00    1.072571e+01
  2.715866e+00    1.062933e+01
  2.723818e+00    1.068005e+01
  2.731771e+00    1.078952e+01
  2.739724e+00    1.091494e+01
  2.747677e+00    1.109462e+01
  2.755629e+00    1.130867e+01
  2.763582e+00    1.157865e+01
  2.771535e+00    1.183447e+01
  2.779488e+00    1.225365e+01
  2.787440e+00    1.285396e+01
  2.795393e+00    1.433802e+01
  2.803346e+00    1.773031e+01
  2.811299e+00    2.497224e+01
  2.819251e+00    3.774344e+01
  2.827204e+00    5.554167e+01
  2.835157e+00    7.743687e+01
  2.843110e+00    1.006710e+02
  2.851062e+00    1.219941e+02
  2.859015e+00    1.397819e+02
  2.866968e+00    1.487142e+02
  2.874921e+00    1.475538e+02
  2.882873e+00    1.353715e+02
  2.890826e+00    1.156660e+02
  2.898779e+00    9.271978e+01
  2.906732e+00    7.015440e+01
  2.914684e+00    4.991674e+01
  2.922637e+00    3.408720e+01
  2.930590e+00    2.320343e+01
  2.938543e+00    1.732466e+01
  2.946495e+00    1.474465e+01
  2.954448e+00    1.379075e+01
  2.962401e+00    1.352032e+01
  2.970354e+00    1.329142e+01
  2.978306e+00    1.316871e+01
  2.986259e+00    1.309721e+01
  2.994212e+00    1.320602e+01
  3.002165e+00    1.333576e+01
  3.010117e+00    1.330139e+01
  3.018070e+00    1.330681e+01
  3.026023e+00    1.343629e+01
  3.033976e+00    1.354771e+01
  3.041928e+00    1.357764e+01
  3.049881e+00    1.363141e+01
  3.057834e+00    1.383026e+01
  3.065787e+00    1.396700e+01
  3.073739e+00    1.413090e+01
  3.081692e+00    1.437344e+01
  3.089645e+00    1.466608e+01
  3.097598e+00    1.500033e+01
  3.105551e+00    1.519311e+01
  3.113503e+00    1.544319e+01
  3.121456e+00    1.560475e+01
  3.129409e+00    1.598194e+01
  3.137362e+00    1.629665e+01
  3.145314e+00    1.655244e+01
  3.153267e+00    1.686635e+01
  3.161220e+00    1.733235e+01
  3.169173e+00    1.804868e+01
  3.177125e+00    1.886110e+01
  3.185078e+00    1.985510e+01
  3.193031e+00    2.100337e+01
  3.200984e+00    2.291666e+01
  3.208936e+00    2.635997e+01
  3.216889e+00    3.357698e+01
  3.224842e+00    4.948137e+01
  3.232795e+00    8.261790e+01
  3.240747e+00    1.428698e+02
  3.248700e+00    2.341359e+02
  3.256653e+00    3.525816e+02
  3.264606e+00    4.899452e+02
  3.272558e+00    6.322053e+02
  3.280511e+00    7.595078e+02
  3.288464e+00    8.618618e+02
  3.296417e+00    9.073297e+02
  3.304369e+00    8.889633e+02
  3.312322e+00    8.160640e+02
  3.320275e+00    7.016216e+02
  3.328228e+00    5.661903e+02
  3.336180e+00    4.259419e+02
  3.344133e+00    2.984510e+02
  3.352086e+00    1.956368e+02
  3.360039e+00    1.173934e+02
  3.367991e+00    6.973716e+01
  3.375944e+00    4.330265e+01
  3.383897e+00    3.078916e+01
  3.391850e+00    2.512663e+01
  3.399802e+00    2.244341e+01
  3.407755e+00    2.100425e+01
  3.415708e+00    1.976247e+01
  3.423661e+00    1.883182e+01
  3.431613e+00    1.810580e+01
  3.439566e+00    1.763550e+01
  3.447519e+00    1.714756e+01
  3.455472e+00    1.683725e+01
  3.463424e+00    1.656440e+01
  3.471377e+00    1.619085e+01
  3.479330e+00    1.582601e+01
  3.487283e+00    1.541204e+01
  3.495235e+00    1.532958e+01
  3.503188e+00    1.523078e+01
  3.511141e+00    1.517105e+01
  3.519094e+00    1.498534e+01
  3.527046e+00    1.486396e+01
  3.534999e+00    1.484677e+01
  3.542952e+00    1.474121e+01
  3.550905e+00    1.455289e+01
  3.558857e+00    1.445584e+01
  3.566810e+00    1.444215e+01
  3.574763e+00    1.455457e+01
  3.582716e+00    1.454223e+01
  3.590669e+00    1.453411e+01
  3.598621e+00    1.442749e+01
  3.606574e+00    1.433073e+01
  3.614527e+00    1.434834e+01
  3.622480e+00    1.447212e+01
  3.630432e+00    1.456150e+01
  3.638385e+00    1.469901e+01
  3.646338e+00    1.482547e+01
  3.654291e+00    1.505301e+01
  3.662243e+00    1.516078e+01
  3.670196e+00    1.545254e+01
  3.678149e+00    1.572176e+01
  3.686102e+00    1.626984e+01
  3.694054e+00    1.691397e+01
  3.702007e+00    1.792567e+01
  3.709960e+00    1.947086e+01
  3.717913e+00    2.240477e+01
  3.725865e+00    2.769619e+01
  3.733818e+00    3.794315e+01
  3.741771e+00    5.570873e+01
  3.749724e+00    8.412331e+01
  3.757676e+00    1.216700e+02
  3.765629e+00    1.667102e+02
  3.773582e+00    2.162242e+02
  3.781535e+00    2.643146e+02
  3.789487e+00    3.083177e+02
  3.797440e+00    3.385287e+02
  3.805393e+00    3.540379e+02
  3.813346e+00    3.486721e+02
  3.821298e+00    3.256913e+02
  3.829251e+00    2.897183e+02
  3.837204e+00    2.436643e+02
  3.845157e+00    1.941992e+02
  3.853109e+00    1.465048e+02
  3.861062e+00    1.040894e+02
  3.869015e+00    7.088232e+01
  3.876968e+00    4.690096e+01
  3.884920e+00    3.188682e+01
  3.892873e+00    2.340357e+01
  3.900826e+00    1.915547e+01
  3.908779e+00    1.694147e+01
  3.916731e+00    1.574178e+01
  3.924684e+00    1.472913e+01
  3.932637e+00    1.403331e+01
  3.940590e+00    1.353670e+01
  3.948542e+00    1.325868e+01
  3.956495e+00    1.295446e+01
  3.964448e+00    1.267579e+01
  3.972401e+00    1.246438e+01
  3.980353e+00    1.233917e+01
  3.988306e+00    1.221830e+01
  3.996259e+00    1.201538e+01
  4.004212e+00    1.191605e+01
  4.012164e+00    1.172123e+01
  4.020117e+00    1.156828e+01
  4.028070e+00    1.142424e+01
  4.036023e+00    1.132380e+01
  4.043976e+00    1.131424e+01
  4.051928e+00    1.123400e+01
  4.059881e+00    1.109461e+01
  4.067834e+00    1.107604e+01
  4.075787e+00    1.115372e+01
  4.083739e+00    1.105078e+01
  4.091692e+00    1.081965e+01
  4.099645e+00    1.071593e+01
  4.107598e+00    1.067743e+01
  4.115550e+00    1.062402e+01
  4.123503e+00    1.062841e+01
  4.131456e+00    1.072230e+01
  4.139409e+00    1.075048e+01
  4.147361e+00    1.060061e+01
  4.155314e+00    1.040649e+01
  4.163267e+00    1.033321e+01
  4.171220e+00    1.035433e+01
  4.179172e+00    1.031030e+01
